iter	Passed	Remaining
0	2	198
1	2	132
2	4	149
3	4	113
4	6	126
5	8	132
6	10	137
7	10	122
8	13	137
9	15	140
10	17	143
11	19	145
12	20	137
13	20	127
14	22	129
15	23	121
16	25	123
17	27	124
18	29	125
19	31	125
20	33	124
21	34	121
22	36	121
23	38	120
24	40	120
25	42	120
26	42	114
27	43	111
28	44	108
29	44	104
30	46	104
31	49	104
32	49	100
33	51	99
34	53	99
35	55	98
36	57	97
37	58	95
38	61	96
39	63	95
40	65	94
41	65	90
42	67	89
43	69	89
44	71	87
45	74	87
46	76	85
47	79	85
48	81	84
49	81	81
50	83	80
51	84	77
52	85	75
53	87	74
54	89	72
55	89	70
56	90	68
57	90	65
58	91	63
59	91	61
60	91	58
61	94	57
62	95	56
63	97	54
64	99	53
65	101	52
66	103	50
67	105	49
68	107	48
69	109	46
70	110	45
71	112	43
72	114	42
73	116	40
74	116	38
75	118	37
76	119	35
77	120	33
78	122	32
79	124	31
80	125	29
81	126	27
82	128	26
83	128	24
84	130	23
85	131	21
86	132	19
87	134	18
88	134	16
89	137	15
90	139	13
91	141	12
92	142	10
93	142	9
94	143	7
95	145	6
96	147	4
97	149	3
98	150	1
99	151	0
